Year,Total Registered,Percentage Change from Previous Year,Total Voting,Turnout (% Voting of Total Registered),Voting Absentee (Included in Total Voting)
2016,5529742,6.41%,3984631,72.05%,496452
2015,5196436,-1.60%,1509864,29.1%,62605
2014,5281011,0.78%,2194346,41.6%,123221
2013,5240286,-3.5%,2253418,43.0%,121359
2012,5428833,6.1% ,3858043,71.06% ,447907
2011,5116929,1.68% ,1463761,28.61% ,59519
2010,5032144,1.54% ,2214503,44.01% ,106888
2009,4955750,-1.57% ,2000812,40.4% ,88182
2008,5034660,10.7%,3723260,74.0%,506672
2007,4549864,- 0.1%,1374526,30.2%,30619
2006,4554683,2.3%,2398589,52.7%,116629
2005,4452225,- 1.5%,2000052,44.92%,75982
2004,4517980,7.1%,3198367,70.79%,222059
2003,4217227,- 0.1%,1296955,30.8%,35716
2002,4219957,2.7%,1331915,31.56%,44493
2001,4109127,0.9%,1905511,46.4%,52344
2000,4073644,7.0%,2739447,67.2%,150414
1999,3808754,2.3%,1373527,36.1%,10686
1998,3724683,4.5%,1229139,33.0%,31494
1997,3565697,7.3%,1764476,49.5%,47571
1996*,3322740,9.4%,2416642,72.7%,116606
1995,3038394,1.3%,1585783,52.2%,45785
1994,3000560,0.9%,2078106,69.3%,81636
1993,2975121,-2.6%**,1817777,61.1%,53904
1992,3055486,9.4%,2558665,83.7%,141123
1991,2791747,2.1%,1371940,49.1%,***
1990,2735339,-0.1%,1252971,45.8%,25785
1989,2737340,-4.9%**,1821242,66.5%,54177
1988,2877144,8.3%,2231876,77.6%,108237
1987,2657412,1.8%,1571110,59.1%,38505
1986,2609698,0.5%,1115179,42.7%,22589
1985,2597904,-2.9%**,1377966,53.0%,32943
1984,2675641,14.8%,2180515,81.5%,113686
1983,2330595,4.3%,1178707,50.6%,***
1982,2234011,0.9%,1454628,65.1%,32340
1981,2214926,-4.1%**,1437382,64.90%,30584
1980,2309181,12.6%,1881648,81.49%,84811
1979,2050499,1.2%,1059158,51.65%,***
1978,2026515,0.2%,1251471,61.75%,26989
1977,2022619,-4.8%**,1267208,62.7%,29970
1976,2123849,,1716182,80.8%,***
